gene_id	E04C01	E04C02	E04C03	E04C04	E04C05	E04C06	E04C07	E04C08	E04C09	E04C10	E04C11	E04C12
DDX11L1	0	0	0	0	0	0	0	0	5	0	0	5
WASH7P	494	634	668	570	509	348	655	637	773	539	574	531
MIR6859-1	5	1	2	1	3	1	5	0	4	0	2	0
MIR1302-2HG	0	3	0	2	0	1	0	0	1	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	2	0	2	0	2	0	0	0	1	0
LOC124900384	4	5	3	3	4	0	8	4	2	9	3	12
LOC729737	4	13	9	4	1	9	9	8	16	8	6	11
LOC124903814	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	2	0	0	0	0	0	0	2	1	0	0	0
WASH9P	646	692	725	694	596	376	695	678	881	641	548	675
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	4	2	2	9	5	2	12	7	12	0	5	9
LOC124903815	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900618	0	4	0	0	0	0	0	0	0	0	0	3
LOC112268260	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	1	3	1	0	2	1	1	0	6	0	2	1
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	2	0	1	2	0	2	0	0	4	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	11	5	15	9	6	3	7	10	23	16	11	9
OR4F16	3	0	4	0	0	1	0	2	0	0	1	0
LOC100288069	276	325	293	236	286	174	328	302	232	270	228	226
LINC01409	13	18	13	6	24	7	8	9	6	17	18	6
LOC124903817	14	7	11	2	17	14	22	8	18	17	13	17
FAM87B	11	5	10	6	5	0	11	9	4	7	20	2
LINC00115	28	41	24	29	21	18	26	42	47	31	35	29
LINC01128	207	170	171	154	144	88	197	167	148	155	150	198
LOC107984850	1	4	0	0	1	0	1	0	0	0	2	4
FAM41C	1	2	4	0	2	0	2	1	0	2	0	0
LOC284600	9	3	6	3	2	4	5	9	11	12	1	3
LINC02593	0	0	0	0	0	0	3	0	2	3	1	0
LOC107985728	0	0	0	0	0	0	0	1	0	0	0	0
SAMD11	6	12	1	14	0	1	5	7	5	26	4	13
NOC2L	2132	2102	2175	1910	1929	1189	2322	2146	2021	1943	1852	2019
KLHL17	747	839	861	634	596	442	870	813	972	719	623	703
PLEKHN1	487	602	605	473	480	284	549	478	500	461	436	480
PERM1	8	19	19	19	14	9	2	14	14	9	12	9
HES4	1915	1755	1603	1498	1485	902	1832	1623	2160	1580	1873	1812
ISG15	530	575	446	437	470	298	551	526	645	532	608	603
AGRN	23029	25431	24792	22002	23106	13725	27992	25556	19504	25466	25946	25171
LOC100288175	386	385	472	303	324	180	385	331	522	340	303	374
LOC105378948	53	43	66	46	60	33	66	46	52	65	29	36
RNF223	155	124	155	109	118	99	152	160	155	166	171	200
C1orf159	434	573	570	461	415	241	606	473	599	440	470	505
LOC124903819	35	52	76	47	34	25	59	73	51	27	41	28
LOC124903820	19	10	4	5	11	5	8	10	0	2	8	20
LINC01342	8	7	7	9	3	4	3	7	1	12	2	6
LOC124903818	801	1037	994	703	671	436	709	769	836	665	586	682
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	2	2	14	7	0	1	3	2	3	7	4	0
TTLL10	18	22	26	14	25	10	11	18	46	17	21	12
TNFRSF18	6	1	3	2	3	3	7	0	11	12	2	0
TNFRSF4	4	3	3	2	1	0	4	0	7	0	2	2
SDF4	9415	9300	9292	8505	8886	5110	11026	9878	9606	9159	9356	9525
B3GALT6	735	738	756	656	744	425	950	824	815	745	786	756
C1QTNF12	235	298	238	278	231	134	270	260	338	218	263	283
UBE2J2	1205	1222	1268	1225	1241	696	1307	1381	1312	1339	1219	1297
LINC01786	100	111	105	66	99	65	123	87	80	133	82	67
SCNN1D	283	302	318	205	209	165	293	201	332	247	230	196
ACAP3	2557	3279	3247	2612	2678	1741	3079	2867	3055	2743	2574	2727
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	4	7	1	3	7	1	3	7	0	0	8	0
