Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
E04C01.lib1	30.255900000000004	0.960262	10725740086.0	74878094.0	0.512724	98.64394583719329	3.411564136532598						
E04C01.lib1_1								64.96967839004569	50.0	149.18452753351335	150	18.181818181818183	37439047.0
E04C01.lib1_2								63.030199085361794	51.0	149.1583428392288	150	18.181818181818183	37439047.0
E04C02.lib1	29.3532	0.960967	11078635756.0	77327068.0	0.511235	98.69583814259259	3.6918046444170525						
E04C02.lib1_1								64.1394635078658	50.0	149.10350391146343	150	18.181818181818183	38663534.0
E04C02.lib1_2								62.20571176238809	51.0	149.0770498113287	150	18.181818181818183	38663534.0
E04C03.lib1	27.8584	0.960367	11068796151.0	77306022.0	0.511925	98.62392452481834	3.7314842264915784						
E04C03.lib1_1								63.45608941973952	50.0	149.10494320869336	150	18.181818181818183	38653011.0
E04C03.lib1_2								61.50851774798908	51.0	149.07780353773734	150	18.181818181818183	38653011.0
E04C04.lib1	39.2327	0.960313	9525871117.0	66400248.0	0.512478	98.621818700742	2.199729171238801						
E04C04.lib1_1								69.41133331017791	50.0	149.40449999524097	150	18.181818181818183	33200124.0
E04C04.lib1_2								67.05473427971454	51.0	149.38027225440484	150	18.181818181818183	33200124.0
E04C05.lib1	37.2311	0.959003	10518958864.0	73536434.0	0.508565	99.16618955626089	3.396783353469604						
E04C05.lib1_1								67.97777417669064	50.0	149.16772880229684	150	27.27272727272727	36768217.0
E04C05.lib1_2								69.6171023578134	51.0	149.1533230180838	150	18.181818181818183	36768217.0
E04C06.lib1	17.235400000000002	0.954465	6538662322.0	45950146.0	0.502896	99.36127445663503	3.66350450145147						
E04C06.lib1_1								55.95375459786105	49.0	149.0951218740415	150	27.27272727272727	22975073.0
E04C06.lib1_2								55.858914769930806	50.0	149.08273144551052	150	18.181818181818183	22975073.0
E04C07.lib1	35.0496	0.961767	12671966089.0	88385966.0	0.507408	99.14093971415103	3.7103330930915						
E04C07.lib1_1								68.11686122665554	50.0	149.07824572511885	150	27.27272727272727	44192983.0
E04C07.lib1_2								69.31639848700077	51.0	149.06434575823948	150	18.181818181818183	44192983.0
E04C08.lib1	42.2511	0.960472	10897347113.0	75950384.0	0.511014	98.69668791183892	2.223303512573323						
E04C08.lib1_1								71.42147990705563	50.0	149.39881157151225	150	18.181818181818183	37975192.0
E04C08.lib1_2								69.41147567523319	51.0	149.3750366555092	150	18.181818181818183	37975192.0
E04C09.lib1	46.43	0.960615	10344621034.0	72627602.0	0.509662	98.6754150978234	6.726304109383197						
E04C09.lib1_1								74.2277509951036	50.0	148.28593674344364	150	18.181818181818183	36313801.0
E04C09.lib1_2								72.78771350088516	51.0	148.26046604154712	150	18.181818181818183	36313801.0
E04C10.lib1	46.2712	0.96031	10331578389.0	72627602.0	0.514431	98.55118060830841	7.240624553143229						
E04C10.lib1_1								73.48373846491042	51.0	148.1449686305215	150	18.181818181818183	36313801.0
E04C10.lib1_2								71.84044574465486	51.0	148.1207082948987	150	18.181818181818183	36313801.0
E04C11.lib1	29.3565	0.95316	9813707147.0	69086350.0	0.51616	98.32037610377533	3.937539908739525						
E04C11.lib1_1								65.25709582427417	51.0	149.03958229085774	150	18.181818181818183	34543175.0
E04C11.lib1_2								63.898989687142425	51.0	149.0226145106812	150	18.181818181818183	34543175.0
E04C12.lib1	51.903600000000004	0.954369	10773389465.0	76102514.0	0.514048	98.48528169910668	6.806416504024654						
E04C12.lib1_1								77.33973838623211	51.0	148.3410395614526	150	18.181818181818183	38051257.0
E04C12.lib1_2								76.93103839626588	51.0	148.3229730360813	150	18.181818181818183	38051257.0
