Sample	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
E04C01.lib1	0.002669845	27081305.0	74314286.0	99.2470321159617	99.24473771995318	3.754395778289976	74878094.0	101959399	101395591	99.45	88.37	33086618.0
E04C02.lib1	0.00265176	21676726.0	76716666.0	99.21062311582796	99.20782719965537	2.7601912954982337	77327068.0	99003794	98393392	99.38	89.4	34564849.0
E04C03.lib1	0.002673275	23599541.0	76672042.0	99.17990864928996	99.17717406284339	3.062569950889466	77306022.0	100905563	100271583	99.37	89.03	34413995.0
E04C04.lib1	0.002695789	23021268.0	65849591.0	99.17070038654072	99.16793383060859	3.575442971237095	66400248.0	89421516	88870859	99.38	88.58	29409807.0
E04C05.lib1	0.002506964	24515193.0	73019603.0	99.29717696128697	99.29618289622258	3.4144135953070553	73536434.0	98051627	97534796	99.47	88.92	32693151.0
E04C06.lib1	0.003505487	11929413.0	45592213.0	99.22104055991466	99.22022010550305	2.5122858151527963	45950146.0	57879559	57521626	99.38	89.83	20639525.0
E04C07.lib1	0.002416461	27005998.0	87738004.0	99.26689492764044	99.26559607890691	3.074798096340317	88385966.0	115391964	114744002	99.44	89.21	39422849.0
E04C08.lib1	0.002691668	24318605.0	75294648.0	99.13662582667126	99.13405572774985	3.258811700017211	75950384.0	100268989	99613253	99.35	88.92	33767228.0
E04C09.lib1	0.002730681	20759527.0	72072281.0	99.23538574218655	99.2317493836572	2.8138571888963098	72627602.0	93387129	92831808	99.41	89.1	32353912.0
E04C10.lib1	0.002684876	26306577.0	72046562.0	99.19997358580007	99.1974869279038	3.76715453168893	72627602.0	98934179	98353139	99.41	88.38	32093794.0
E04C11.lib1	0.002760233	24553103.0	68553237.0	99.22833815941934	99.22629578780757	3.6751326419763095	69086350.0	93639453	93106340	99.43	88.46	30557481.0
E04C12.lib1	0.002738147	27964763.0	75548765.0	99.27236437944744	99.27047088089626	3.828383382972079	76102514.0	104067277	103513528	99.47	88.36	33623378.0
