Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
E04C01.lib1_1	64.40481099739006	51.0	150.0	150	18.181818181818183	37953720.0
E04C01.lib1_2	62.28932377405642	51.0	150.0	150	18.181818181818183	37953720.0
E04C02.lib1_1	63.60136706687764	50.0	150.0	150	18.181818181818183	39174432.0
E04C02.lib1_2	61.51349625035747	51.0	150.0	150	18.181818181818183	39174432.0
E04C03.lib1_1	62.83369538700719	51.0	150.0	150	18.181818181818183	39192327.0
E04C03.lib1_2	60.71926665416048	51.0	150.0	150	18.181818181818183	39192327.0
E04C04.lib1_1	68.74758327366132	51.0	150.0	150	18.181818181818183	33664076.0
E04C04.lib1_2	66.19801604214277	51.0	150.0	150	18.181818181818183	33664076.0
E04C05.lib1_1	67.83615325638803	50.0	150.0	150	27.27272727272727	37077372.0
E04C05.lib1_2	69.30876963036458	51.0	150.0	150	18.181818181818183	37077372.0
E04C06.lib1_1	55.85527537079069	50.0	150.0	150	27.27272727272727	23122764.0
E04C06.lib1_2	55.67255475228101	50.0	150.0	150	18.181818181818183	23122764.0
E04C07.lib1_1	67.90503005635793	50.0	150.0	150	27.27272727272727	44575917.0
E04C07.lib1_2	68.9556841363744	51.0	150.0	150	18.181818181818183	44575917.0
E04C08.lib1_1	70.85487500108152	50.0	150.0	150	18.181818181818183	38476663.0
E04C08.lib1_2	68.67514310230982	51.0	150.0	150	18.181818181818183	38476663.0
E04C09.lib1_1	73.59595235074576	50.0	150.0	150	18.181818181818183	36801265.0
E04C09.lib1_2	71.94137137232872	51.0	150.0	150	18.181818181818183	36801265.0
E04C10.lib1_1	72.74658572329346	51.0	150.0	150	18.181818181818183	36847657.0
E04C10.lib1_2	70.93454955072117	51.0	150.0	150	18.181818181818183	36847657.0
E04C11.lib1_1	64.7096410377151	51.0	150.0	150	18.181818181818183	35133282.0
E04C11.lib1_2	63.20633832269146	52.0	150.0	150	18.181818181818183	35133282.0
E04C12.lib1_1	76.714808153482	51.0	150.0	150	18.181818181818183	38636491.0
E04C12.lib1_2	76.11721952871352	51.0	150.0	150	18.181818181818183	38636491.0
